year,season,site,zone,transect,segment,classcode,density,count,meters_sampled,class,subclass,size_or_stipe_count,area_samp
2018,summer,breast,shallow,1,20-30m,unk,0.05,1,10,other,other,look at picture,20
2018,summer,breast,shallow,2,0-10m,macpyrad,0.1,2,10,algae,brown_algae,"19,22",20
2018,summer,breast,shallow,2,0-10m,agafim,0.3,6,10,algae,brown_algae,NA,20
2018,summer,breast,shallow,2,0-10m,sacgro,0.15,3,10,algae,brown_algae,NA,20
2018,summer,breast,shallow,2,0-10m,opunt,0.1,2,10,algae,red_algae,NA,20
2018,summer,breast,shallow,2,0-10m,crypto,0.1,2,10,algae,red_algae,NA,20
2018,summer,breast,shallow,2,0-10m,hymenia?,0.25,5,10,other,other,NA,20
2018,summer,breast,shallow,2,10-20m,macpyrad,0.1,2,10,algae,brown_algae,"13,2",20
2018,summer,breast,shallow,2,10-20m,agafim,0.3,6,10,algae,brown_algae,NA,20
2018,summer,breast,shallow,2,10-20m,sacgro,0.3,6,10,algae,brown_algae,NA,20
2018,summer,breast,shallow,2,10-20m,opunt,0.35,7,10,algae,red_algae,NA,20
2018,summer,breast,shallow,2,10-20m,crypto,1.1,22,10,algae,red_algae,NA,20
2018,summer,breast,shallow,2,10-20m,const,0.55,11,10,algae,red_algae,NA,20
2018,summer,breast,shallow,2,20-30m,macpyrad,0.15,3,10,algae,brown_algae,"17,25,20",20
2018,summer,breast,shallow,2,20-30m,agafim,0.3,6,10,algae,brown_algae,NA,20
2018,summer,breast,shallow,2,20-30m,sacgro,0.3,6,10,algae,brown_algae,NA,20
2018,summer,breast,shallow,2,20-30m,opunt,0.15,3,10,algae,red_algae,NA,20
2018,summer,breast,shallow,2,20-30m,crypto,0.8,16,10,algae,red_algae,NA,20
2018,summer,breast,shallow,2,20-30m,const,0.05,1,10,algae,red_algae,NA,20
2018,summer,breast,deep,1,0-10m,henlev,0.2,2,10,other,other,NA,10
2018,summer,breast,deep,1,0-10m,cucmin,0.4,4,10,invert,cuc,NA,10
2018,summer,breast,deep,1,0-10m,cragig,0.1,1,10,invert,mollusc,NA,10
2018,summer,breast,deep,1,0-10m,halkam,0.4,4,10,invert,mollusc,90,10
2018,summer,breast,deep,1,0-10m,halkam,0.2,1,10,invert,mollusc,50,10
2018,summer,breast,deep,1,0-10m,halkam,0.3,3,10,invert,mollusc,60,10
2018,summer,breast,deep,1,0-10m,halkam,0.1,1,10,invert,mollusc,65,10
2018,summer,breast,deep,1,0-10m,halkam,0.1,1,10,invert,mollusc,70,10
2018,summer,breast,deep,1,0-10m,halkam,0.2,1,10,invert,mollusc,75,10
2018,summer,breast,deep,1,0-10m,halkam,0.2,1,10,invert,mollusc,80,10
2018,summer,breast,deep,1,0-10m,halkam,0.2,1,10,invert,mollusc,85,10
2018,summer,breast,deep,1,0-10m,halkam,0.1,1,10,invert,mollusc,40,10
2018,summer,breast,deep,1,0-10m,halkam,0.1,1,10,invert,mollusc,100,10
2018,summer,breast,deep,1,10-20m,derimb,0.1,1,10,invert,star,40,10
2018,summer,breast,deep,1,10-20m,derimb,0.2,1,10,invert,star,60,10
2018,summer,breast,deep,1,10-20m,henlev,0.1,1,10,other,other,30,10
2018,summer,breast,deep,1,10-20m,evatros,0.1,1,10,invert,star,40,10
2018,summer,breast,deep,1,10-20m,strdro,0.1,1,10,invert,urchin,60,10
2018,summer,breast,deep,1,10-20m,strfraad,0.2,1,10,invert,urchin,30,10
2018,summer,breast,deep,1,10-20m,strfraad,0.1,1,10,invert,urchin,45,10
2018,summer,breast,deep,1,10-20m,strfraad,0.1,1,10,invert,urchin,120,10
2018,summer,breast,deep,1,10-20m,cucmin,0.1,1,10,invert,cuc,NA,10
2018,summer,breast,deep,1,10-20m,parspp,0.2,2,10,invert,cuc,NA,10
2018,summer,breast,deep,1,10-20m,canspp,0.1,1,10,invert,crab,NA,10
2018,summer,breast,deep,1,10-20m,halkam,0.1,1,10,invert,mollusc,30,10
2018,summer,breast,deep,1,10-20m,halkam,0.1,1,10,invert,mollusc,35,10
2018,summer,breast,deep,1,10-20m,halkam,0.1,1,10,invert,mollusc,50,10
2018,summer,breast,deep,1,10-20m,halkam,0.2,1,10,invert,mollusc,55,10
2018,summer,breast,deep,1,10-20m,halkam,0.4,4,10,invert,mollusc,60,10
2018,summer,breast,deep,1,10-20m,halkam,0.3,3,10,invert,mollusc,65,10
2018,summer,breast,deep,1,10-20m,halkam,0.2,1,10,invert,mollusc,75,10
2018,summer,breast,deep,1,10-20m,halkam,0.3,3,10,invert,mollusc,80,10
2018,summer,breast,deep,1,10-20m,halkam,0.2,1,10,invert,mollusc,90,10
2018,summer,breast,deep,1,20-30m,henlev,0.1,1,10,other,other,20,10
2018,summer,breast,deep,1,20-30m,pychel,0.1,1,10,invert,star,50,10
2018,summer,breast,deep,1,20-30m,strdro,0.1,1,10,invert,urchin,25,10
2018,summer,breast,deep,1,20-30m,strdro,0.1,1,10,invert,urchin,30,10
2018,summer,breast,deep,1,20-30m,strfraad,0.1,1,10,invert,urchin,40,10
2018,summer,breast,deep,1,20-30m,strfraad,0.1,1,10,invert,urchin,50,10
2018,summer,breast,deep,1,20-30m,halkam,0.1,1,10,invert,mollusc,50,10
2018,summer,breast,deep,1,20-30m,halkam,0.1,1,10,invert,mollusc,55,10
2018,summer,breast,deep,1,20-30m,halkam,0.1,1,10,invert,mollusc,30,10
2018,summer,breast,deep,1,20-30m,halkam,0.2,1,10,invert,mollusc,70,10
2018,summer,breast,deep,1,20-30m,halkam,0.2,1,10,invert,mollusc,90,10
2018,summer,breast,deep,1,20-30m,halkam,0.2,1,10,invert,mollusc,100,10
2018,summer,breast,deep,1,20-30m,halkam,0.1,1,10,invert,mollusc,120,10
2018,summer,breast,deep,2,0-10m,derimb,0.1,1,10,invert,star,25,10
2018,summer,breast,deep,2,0-10m,derimb,0.1,1,10,invert,star,30,10
2018,summer,breast,deep,2,0-10m,derimb,0.2,1,10,invert,star,40,10
2018,summer,breast,deep,2,0-10m,derimb,0.1,1,10,invert,star,90,10
2018,summer,breast,deep,2,0-10m,evatros,0.1,1,10,invert,star,70,10
2018,summer,breast,deep,2,0-10m,soldaw,0.1,0,10,invert,star,NA,10
2018,summer,breast,deep,2,0-10m,strdro,0.2,0,10,invert,urchin,NA,10
2018,summer,breast,deep,2,0-10m,strfraad,0.2,1,10,invert,urchin,80,10
2018,summer,breast,deep,2,0-10m,strfraad,0.2,1,10,invert,urchin,90,10
2018,summer,breast,deep,2,0-10m,strfraad,0.1,1,10,invert,urchin,100,10
2018,summer,breast,deep,2,0-10m,cucmin,0.4,4,10,invert,cuc,NA,10
2018,summer,breast,deep,2,0-10m,cragig,0.1,1,10,invert,mollusc,NA,10
2018,summer,breast,deep,2,0-10m,halkam,0.4,4,10,invert,mollusc,60,10
2018,summer,breast,deep,2,0-10m,halkam,0.1,1,10,invert,mollusc,70,10
2018,summer,breast,deep,2,0-10m,halkam,0.4,4,10,invert,mollusc,80,10
2018,summer,breast,deep,2,0-10m,halkam,0.3,3,10,invert,mollusc,90,10
2018,summer,breast,deep,2,0-10m,halkam,0.1,1,10,invert,mollusc,95,10
2018,summer,breast,deep,2,0-10m,halkam,0.1,1,10,invert,mollusc,100,10
2018,summer,breast,deep,2,0-10m,halkam,0.1,1,10,invert,mollusc,130,10
2018,summer,breast,deep,2,0-10m,pugfol,0.1,1,10,other,other,NA,10
2018,summer,breast,deep,2,10-20m,derimb,0.1,1,10,invert,star,30,10
2018,summer,breast,deep,2,10-20m,derimb,0.2,1,10,invert,star,60,10
2018,summer,breast,deep,2,10-20m,derimb,0.1,1,10,invert,star,50,10
2018,summer,breast,deep,2,10-20m,derimb,0.1,1,10,invert,star,70,10
2018,summer,breast,deep,2,10-20m,ortkoe,0.1,1,10,invert,star,100,10
2018,summer,breast,deep,2,10-20m,strdro,0.1,1,10,invert,urchin,40,10
2018,summer,breast,deep,2,10-20m,strdro,0.3,3,10,invert,urchin,50,10
2018,summer,breast,deep,2,10-20m,strdro,0.2,1,10,invert,urchin,60,10
2018,summer,breast,deep,2,10-20m,strdro,0.1,1,10,invert,urchin,70,10
2018,summer,breast,deep,2,10-20m,strdro,0.1,1,10,invert,urchin,80,10
2018,summer,breast,deep,2,10-20m,strdro,0.2,1,10,invert,urchin,90,10
2018,summer,breast,deep,2,10-20m,strdro,0.1,1,10,invert,urchin,110,10
2018,summer,breast,deep,2,10-20m,cucmin,0.1,1,10,invert,cuc,NA,10
2018,summer,breast,deep,2,10-20m,parspp,0.3,3,10,invert,cuc,NA,10
2018,summer,breast,deep,2,10-20m,halkam,0.1,0,10,invert,mollusc,NA,10
2018,summer,breast,deep,2,10-20m,halkam,0.1,0,10,invert,mollusc,NA,10
2018,summer,breast,deep,2,10-20m,halkam,0.3,3,10,invert,mollusc,60,10
2018,summer,breast,deep,2,10-20m,halkam,0.1,1,10,invert,mollusc,70,10
2018,summer,breast,deep,2,10-20m,halkam,0.2,1,10,invert,mollusc,80,10
2018,summer,breast,deep,2,10-20m,halkam,0.1,1,10,invert,mollusc,85,10
2018,summer,breast,deep,2,10-20m,halkam,0.3,3,10,invert,mollusc,90,10
2018,summer,breast,deep,2,10-20m,halkam,0.1,1,10,invert,mollusc,95,10
2018,summer,breast,deep,2,10-20m,halkam,0.3,3,10,invert,mollusc,100,10
2018,summer,breast,deep,2,20-30m,derimb,0.1,1,10,invert,star,50,10
2018,summer,breast,deep,2,20-30m,derimb,0.1,1,10,invert,star,70,10
2018,summer,breast,deep,2,20-30m,henlev,0.1,1,10,other,other,15,10
2018,summer,breast,deep,2,20-30m,henlev,0.1,1,10,other,other,15,10
2018,summer,breast,deep,2,20-30m,henlev,0.1,1,10,other,other,20,10
2018,summer,breast,deep,2,20-30m,henlev,0.1,1,10,other,other,30,10
2018,summer,breast,deep,2,20-30m,henlev,0.2,2,10,other,other,40,10
2018,summer,breast,deep,2,20-30m,henlev,0.1,1,10,other,other,50,10
2018,summer,breast,deep,2,20-30m,strdro,0.1,0,10,invert,urchin,NA,10
2018,summer,breast,deep,2,20-30m,strfraad,0.1,1,10,invert,urchin,100,10
2018,summer,breast,deep,2,20-30m,parspp,0.2,2,10,invert,cuc,NA,10
2018,summer,breast,deep,2,20-30m,halkam,0.1,1,10,invert,mollusc,40,10
2018,summer,breast,deep,2,20-30m,halkam,0.1,1,10,invert,mollusc,50,10
2018,summer,breast,deep,2,20-30m,halkam,0.2,1,10,invert,mollusc,70,10
2018,summer,breast,deep,2,20-30m,halkam,0.2,1,10,invert,mollusc,80,10
2018,summer,breast,deep,2,20-30m,halkam,0.1,1,10,invert,mollusc,85,10
2018,summer,breast,deep,2,20-30m,halkam,0.2,1,10,invert,mollusc,90,10
2018,summer,breast,deep,2,20-30m,halkam,0.3,3,10,invert,mollusc,100,10
2018,summer,breast,deep,2,20-30m,pugfol,0.1,1,10,other,other,NA,10
2018,summer,breast,shallow,2,0-10m,derimb,0.1,1,10,invert,star,30,10
2018,summer,breast,shallow,2,0-10m,derimb,0.1,1,10,invert,star,37,10
2018,summer,breast,shallow,2,0-10m,derimb,0.1,1,10,invert,star,41,10
2018,summer,breast,shallow,2,0-10m,derimb,0.1,1,10,invert,star,57,10
2018,summer,breast,shallow,2,0-10m,derimb,0.1,1,10,invert,star,92,10
2018,summer,breast,shallow,2,0-10m,henlev,0.1,1,10,other,other,32,10
2018,summer,breast,shallow,2,0-10m,strdro,0.1,0,10,invert,urchin,NA,10
2018,summer,breast,shallow,2,0-10m,strfraad,0.1,1,10,invert,urchin,35,10
2018,summer,breast,shallow,2,0-10m,strfraad,0.1,1,10,invert,urchin,39,10
2018,summer,breast,shallow,2,0-10m,strfraad,0.1,1,10,invert,urchin,72,10
2018,summer,breast,shallow,2,0-10m,strfraad,0.1,1,10,invert,urchin,75,10
2018,summer,breast,shallow,2,0-10m,strfraad,0.1,1,10,invert,urchin,79,10
2018,summer,breast,shallow,2,0-10m,strfraad,0.1,1,10,invert,urchin,92,10
2018,summer,breast,shallow,2,0-10m,cucmin,0.7,7,10,invert,cuc,NA,10
2018,summer,breast,shallow,2,0-10m,halkam,0.1,1,10,invert,mollusc,44,10
2018,summer,breast,shallow,2,0-10m,halkam,0.3,3,10,invert,mollusc,62,10
2018,summer,breast,shallow,2,0-10m,halkam,0.1,1,10,invert,mollusc,78,10
2018,summer,breast,shallow,2,0-10m,halkam,0.2,1,10,invert,mollusc,65,10
2018,summer,breast,shallow,2,0-10m,halkam,0.1,1,10,invert,mollusc,59,10
2018,summer,breast,shallow,2,0-10m,halkam,0.1,1,10,invert,mollusc,34,10
2018,summer,breast,shallow,2,0-10m,halkam,0.2,1,10,invert,mollusc,89,10
2018,summer,breast,shallow,2,0-10m,halkam,0.1,1,10,invert,mollusc,72,10
2018,summer,breast,shallow,2,0-10m,halkam,0.1,1,10,invert,mollusc,69,10
2018,summer,breast,shallow,2,0-10m,halkam,0.3,3,10,invert,mollusc,82,10
2018,summer,breast,shallow,2,0-10m,halkam,0.1,1,10,invert,mollusc,91,10
2018,summer,breast,shallow,2,0-10m,halkam,0.1,1,10,invert,mollusc,64,10
2018,summer,breast,shallow,2,0-10m,halkam,0.1,1,10,invert,mollusc,87,10
2018,summer,breast,shallow,2,0-10m,halkam,0.1,1,10,invert,mollusc,56,10
2018,summer,breast,shallow,2,0-10m,halkam,0.1,1,10,invert,mollusc,95,10
2018,summer,breast,shallow,2,0-10m,halkam,0.1,1,10,invert,mollusc,67,10
2018,summer,breast,shallow,2,0-10m,halkam,0.1,1,10,invert,mollusc,54,10
2018,summer,breast,shallow,2,0-10m,halkam,0.1,1,10,invert,mollusc,75,10
2018,summer,breast,shallow,2,10-20m,derimb,0.1,1,10,invert,star,32,10
2018,summer,breast,shallow,2,10-20m,derimb,0.1,1,10,invert,star,53,10
2018,summer,breast,shallow,2,10-20m,derimb,0.1,1,10,invert,star,75,10
2018,summer,breast,shallow,2,10-20m,derimb,0.1,1,10,invert,star,73,10
2018,summer,breast,shallow,2,10-20m,henlev,0.1,1,10,other,other,21,10
2018,summer,breast,shallow,2,10-20m,henlev,0.1,1,10,other,other,19,10
2018,summer,breast,shallow,2,10-20m,henlev,0.1,1,10,other,other,56,10
2018,summer,breast,shallow,2,10-20m,strfraad,0.1,1,10,invert,urchin,97,10
2018,summer,breast,shallow,2,10-20m,cucmin,0.2,2,10,invert,cuc,NA,10
2018,summer,breast,shallow,2,10-20m,parspp,0.1,1,10,invert,cuc,NA,10
2018,summer,breast,shallow,2,10-20m,crydec,0.1,1,10,other,other,NA,10
2018,summer,breast,shallow,2,10-20m,cragig,0.2,2,10,invert,mollusc,NA,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,59,10
2018,summer,breast,shallow,2,10-20m,halkam,0.2,1,10,invert,mollusc,64,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,81,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,87,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,58,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,45,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,91,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,72,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,63,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,66,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,89,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,71,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,65,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,73,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,125,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,67,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,69,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,51,10
2018,summer,breast,shallow,2,10-20m,halkam,0.1,1,10,invert,mollusc,74,10
2018,summer,breast,shallow,2,20-30m,derimb,0.1,0,10,invert,star,NA,10
2018,summer,breast,shallow,2,20-30m,derimb,0.1,1,10,invert,star,31,10
2018,summer,breast,shallow,2,20-30m,derimb,0.1,1,10,invert,star,100,10
2018,summer,breast,shallow,2,20-30m,henlev,0.1,1,10,other,other,23,10
2018,summer,breast,shallow,2,20-30m,evatros,0.1,1,10,invert,star,62,10
2018,summer,breast,shallow,2,20-30m,strdro,0.1,1,10,invert,urchin,31,10
2018,summer,breast,shallow,2,20-30m,strdro,0.1,1,10,invert,urchin,45,10
2018,summer,breast,shallow,2,20-30m,strdro,0.1,1,10,invert,urchin,51,10
2018,summer,breast,shallow,2,20-30m,strfraad,0.1,1,10,invert,urchin,69,10
2018,summer,breast,shallow,2,20-30m,strfraad,0.1,1,10,invert,urchin,91,10
2018,summer,breast,shallow,2,20-30m,cucmin,0.4,4,10,invert,cuc,NA,10
2018,summer,breast,shallow,2,20-30m,parspp,0.1,1,10,invert,cuc,NA,10
2018,summer,breast,shallow,2,20-30m,cragig,0.4,4,10,invert,mollusc,NA,10
2018,summer,breast,shallow,2,20-30m,halkam,0.1,1,10,invert,mollusc,45,10
2018,summer,breast,shallow,2,20-30m,halkam,0.2,1,10,invert,mollusc,50,10
2018,summer,breast,shallow,2,20-30m,halkam,0.1,1,10,invert,mollusc,52,10
2018,summer,breast,shallow,2,20-30m,halkam,0.1,1,10,invert,mollusc,55,10
2018,summer,breast,shallow,2,20-30m,halkam,0.2,1,10,invert,mollusc,60,10
2018,summer,breast,shallow,2,20-30m,halkam,0.1,1,10,invert,mollusc,66,10
2018,summer,breast,shallow,2,20-30m,halkam,0.1,1,10,invert,mollusc,70,10
2018,summer,breast,shallow,2,20-30m,halkam,0.1,1,10,invert,mollusc,71,10
2018,summer,breast,shallow,2,20-30m,halkam,0.1,1,10,invert,mollusc,82,10
2018,summer,breast,shallow,2,20-30m,halkam,0.1,1,10,invert,mollusc,91,10
2018,summer,breast,shallow,1,0-10m,derimb,0.1,0,10,invert,star,NA,10
2018,summer,breast,shallow,1,0-10m,derimb,0.1,0,10,invert,star,NA,10
2018,summer,breast,shallow,1,0-10m,henlev,0.1,1,10,other,other,20,10
2018,summer,breast,shallow,1,0-10m,henlev,0.1,1,10,other,other,30,10
2018,summer,breast,shallow,1,0-10m,henlev,0.1,1,10,other,other,38,10
2018,summer,breast,shallow,1,0-10m,pychel,0.1,1,10,invert,star,82,10
2018,summer,breast,shallow,1,0-10m,strdro,0.1,0,10,invert,urchin,NA,10
2018,summer,breast,shallow,1,0-10m,strfraad,0.1,0,10,invert,urchin,NA,10
2018,summer,breast,shallow,1,0-10m,strfraad,0.3,3,10,invert,urchin,60,10
2018,summer,breast,shallow,1,0-10m,strfraad,0.1,1,10,invert,urchin,65,10
2018,summer,breast,shallow,1,0-10m,strfraad,0.1,1,10,invert,urchin,70,10
2018,summer,breast,shallow,1,0-10m,strfraad,0.3,3,10,invert,urchin,80,10
2018,summer,breast,shallow,1,0-10m,strfraad,0.1,1,10,invert,urchin,82,10
2018,summer,breast,shallow,1,0-10m,strfraad,0.1,1,10,invert,urchin,85,10
2018,summer,breast,shallow,1,0-10m,strfraad,0.2,1,10,invert,urchin,90,10
2018,summer,breast,shallow,1,0-10m,strfraad,0.1,1,10,invert,urchin,95,10
2018,summer,breast,shallow,1,0-10m,strfraad,0.3,3,10,invert,urchin,100,10
2018,summer,breast,shallow,1,0-10m,cucmin,1.4,14,10,invert,cuc,NA,10
2018,summer,breast,shallow,1,0-10m,cragig,0.2,2,10,invert,mollusc,NA,10
2018,summer,breast,shallow,1,0-10m,halkam,0.1,1,10,invert,mollusc,30,10
2018,summer,breast,shallow,1,0-10m,halkam,0.1,1,10,invert,mollusc,40,10
2018,summer,breast,shallow,1,0-10m,halkam,0.2,1,10,invert,mollusc,50,10
2018,summer,breast,shallow,1,0-10m,halkam,0.1,1,10,invert,mollusc,60,10
2018,summer,breast,shallow,1,0-10m,halkam,0.1,1,10,invert,mollusc,66,10
2018,summer,breast,shallow,1,0-10m,halkam,0.1,1,10,invert,mollusc,69,10
2018,summer,breast,shallow,1,0-10m,halkam,0.1,1,10,invert,mollusc,70,10
2018,summer,breast,shallow,1,0-10m,halkam,0.1,1,10,invert,mollusc,75,10
2018,summer,breast,shallow,1,0-10m,halkam,0.1,1,10,invert,mollusc,80,10
2018,summer,breast,shallow,1,0-10m,halkam,0.1,1,10,invert,mollusc,84,10
2018,summer,breast,shallow,1,0-10m,halkam,0.1,1,10,invert,mollusc,90,10
2018,summer,breast,shallow,1,0-10m,halkam,0.2,1,10,invert,mollusc,100,10
2018,summer,breast,shallow,1,0-10m,halkam,0.1,1,10,invert,mollusc,104,10
2018,summer,breast,shallow,1,0-10m,halkam,0.1,1,10,invert,mollusc,110,10
2018,summer,breast,shallow,1,10-20m,derimb,0.1,0,10,invert,star,NA,10
2018,summer,breast,shallow,1,10-20m,derimb,0.1,1,10,invert,star,42,10
2018,summer,breast,shallow,1,10-20m,derimb,0.1,1,10,invert,star,52,10
2018,summer,breast,shallow,1,10-20m,derimb,0.1,1,10,invert,star,75,10
2018,summer,breast,shallow,1,10-20m,derimb,0.1,1,10,invert,star,125,10
2018,summer,breast,shallow,1,10-20m,pychel,0.1,1,10,invert,star,55,10
2018,summer,breast,shallow,1,10-20m,strdro,0.1,1,10,invert,urchin,48,10
2018,summer,breast,shallow,1,10-20m,strfraad,0.1,1,10,invert,urchin,26,10
2018,summer,breast,shallow,1,10-20m,strfraad,0.1,1,10,invert,urchin,53,10
2018,summer,breast,shallow,1,10-20m,strfraad,0.1,1,10,invert,urchin,55,10
2018,summer,breast,shallow,1,10-20m,strfraad,0.2,1,10,invert,urchin,87,10
2018,summer,breast,shallow,1,10-20m,cucmin,0.7,7,10,invert,cuc,NA,10
2018,summer,breast,shallow,1,10-20m,parspp,0.1,1,10,invert,cuc,NA,10
2018,summer,breast,shallow,1,10-20m,cragig,0.1,1,10,invert,mollusc,NA,10
2018,summer,breast,shallow,1,10-20m,halkam,0.1,0,10,invert,mollusc,NA,10
2018,summer,breast,shallow,1,10-20m,halkam,0.1,1,10,invert,mollusc,42,10
2018,summer,breast,shallow,1,10-20m,halkam,0.1,1,10,invert,mollusc,54,10
2018,summer,breast,shallow,1,10-20m,halkam,0.1,1,10,invert,mollusc,50,10
2018,summer,breast,shallow,1,10-20m,halkam,0.3,3,10,invert,mollusc,60,10
2018,summer,breast,shallow,1,10-20m,halkam,0.1,1,10,invert,mollusc,62,10
2018,summer,breast,shallow,1,10-20m,halkam,0.1,1,10,invert,mollusc,64,10
2018,summer,breast,shallow,1,10-20m,halkam,0.2,1,10,invert,mollusc,67,10
2018,summer,breast,shallow,1,10-20m,halkam,0.3,3,10,invert,mollusc,70,10
2018,summer,breast,shallow,1,10-20m,halkam,0.2,1,10,invert,mollusc,75,10
2018,summer,breast,shallow,1,10-20m,halkam,0.2,1,10,invert,mollusc,80,10
2018,summer,breast,shallow,1,10-20m,halkam,0.1,1,10,invert,mollusc,82,10
2018,summer,breast,shallow,1,10-20m,halkam,0.2,1,10,invert,mollusc,85,10
2018,summer,breast,shallow,1,10-20m,halkam,0.3,3,10,invert,mollusc,90,10
2018,summer,breast,shallow,1,10-20m,halkam,0.1,1,10,invert,mollusc,95,10
